StoreNumber,OwnershipTypeCode,StreetAddress,City,PostalCode,Latitude,Longitude
8025-150267,Company Owned,66-11 Binmanji,Taga-cho,522-0342,35.218893,136.285237
1868-143565,Company Owned,62-2 Binmanji,Taga-cho,522-0342,35.218118,136.283394
65839-300113,Company Owned,1330-2 Takamiyacho,Hikone,522-0201,35.243607,136.252751
31179-106524,Company Owned,2-1-1 Banba,Hikone,522-0069,35.280694,136.244029
49481-261606,Company Owned,7-40 Yokaichi-kaminocho,Higashiomi,573-0022,35.113244,136.20356
31576-111635,Company Owned,2-3-11 Takakaicho-kita,Oumihachiman,523-0896,35.127366,136.105653
24942-239411,Company Owned,265 Kawasakicho,Nagahama,526-0846,35.393157,136.282439
19713-197785,Company Owned,1178-694 Sunayama Kuzushi,Ryuo-cho,520-2551,35.062132,136.100993
28997-252025,Company Owned,6005-1 Minakuchi Minakuchicho,Koka,528-0005,34.966568,136.164301
21199-209864,Company Owned,510-1 Nagafuke,Toin-cho,511-0255,35.063103,136.579278
31662-117265,Company Owned,2-100 Sotono,Ogaki,503-0933,35.336624,136.61384
31220-106786,Company Owned,111-1 Onakasinden,Kuwana,511-0947,35.080397,136.606584
61348-293718,Company Owned,6-80-21 Hayashimachi,Ogaki,503-8571,35.369882,136.6173
49619-270172,Company Owned,18 Komaizawacho,Kusatsu,525-0014,35.039673,135.962171
29664-254824,Company Owned,1569-2 Yamanoissikicho,Yokkaichi,512-0906,35.01866,136.590706
8017-150266,Company Owned,1491-2 Yamanoissikicho,Yokkaichi,512-0906,35.019133,136.593989
55186-289016,Company Owned,1-1-50 Shibukawa,Kusatsu,525-8515,35.022383,135.962571
30276-260966,Company Owned,1-23-1 Nishishibukawa,Kusatsu,525-0025,35.025436,135.959326
31022-105213,Company Owned,1-20-20 Kusatsu,Kusatsu,525-0034,35.015049,135.965775
47505-254610,Company Owned,72 chiyoda Fukujuchohongo,Hashima,501-6254,35.319201,136.683934
30173-33259,Company Owned,1-22 Shinnishikata,Kuwana,511-0863,35.072209,136.662491
16822-166985,Company Owned,1863-1 Tennokawahara Obiracho,Yokkaichi,512-0921,34.976406,136.589155
51358-278011,Licensed,2-3-1-1 Nojihigashi,Kusatsu,525-8520,34.989925,135.956868
30582-98004,Company Owned,1-3-31 Yasujima,Yokkaichi,510-0075,34.968108,136.617124
